"","Monitor","Common.Name","total_calls","site_type","site_loc","avg_calls_per_day"
"1","FOCG1","Black Redstart",838,"conventional","roof",8.55102040816327
"2","FOCG10","Black Redstart",12,"intensive","roof",0.122448979591837
"3","FOCG11","Black Redstart",11,"garden","garden",0.112244897959184
"4","FOCG12","Black Redstart",2,"garden","garden",0.0204081632653061
"5","FOCG14","Black Redstart",2,"garden","garden",0.0204081632653061
"6","FOCG15","Black Redstart",107,"conventional","roof",1.09183673469388
"7","FOCG2","Black Redstart",24,"garden","garden",0.244897959183673
"8","FOCG3","Black Redstart",217,"extensive","roof",2.21428571428571
"9","FOCG4","Black Redstart",89,"conventional","roof",0.908163265306122
"10","FOCG5","Black Redstart",2018,"extensive","roof",20.5918367346939
"11","FOCG6","Black Redstart",19,"intensive","roof",0.193877551020408
"12","FOCG7","Black Redstart",157,"extensive","roof",1.60204081632653
"13","FOCG8","Black Redstart",1173,"intensive","roof",11.969387755102
"14","FOCG9","Black Redstart",151,"intensive","roof",1.54081632653061
"15","FOCG13","Black Redstart",0,"garden","garden ",0
