"","plot_id","C175.ca","C175.enn_cv","C175.ca_m2","Monitor","site_name","layer"
"1",1,0.11930584342501,85.9581492976321,1193.0584342501,"FOCG1","Mansion House","2"
"2",2,1.50657378977181,81.8261572605911,15065.7378977181,"FOCG2","Barber Surgeon ","2"
"3",3,1.01304961768261,87.487162860215,10130.4961768261,"FOCG3","Wood Street ","2"
"4",4,0.290514228960313,175.645428594371,2905.14228960313,"FOCG4","79 Charterhouse ","2"
"5",5,0.760137230405281,146.57141159559,7601.37230405281,"FOCG5","Guildhall ","2"
"6",6,0.304514914693357,83.9646180442308,3045.14914693357,"FOCG6","Weil","2"
"7",7,0.267913121991293,260.433642109887,2679.13121991293,"FOCG7","Nomura","2"
"8",8,0.640431367387899,123.46382586418,6404.31367387899,"FOCG8","Algate School","2"
"9",9,0.341916746580141,170.945467153197,3419.16746580141,"FOCG9","Cannon Bridge","2"
"10",10,0.141306921005481,125.437944844514,1413.06921005481,"FOCG10","120 Fenchurch ","2"
"11",11,0.80863960598041,165.580622614713,8086.3960598041,"FOCG11","Cleary Garden ","2"
"12",12,0.0219010726823782,17.3337564535315,219.010726823782,"FOCG12","Inner Temple ","2"
"13",13,0.429021012819189,101.730542957283,4290.21012819189,"FOCG13","St Dunstan ","2"
"14",14,0.951546605355381,107.266099754137,9515.46605355381,"FOCG14","Christchurch Greyfrairs","2"
"15",15,0.37301826988708,240.38344390182,3730.1826988708,"FOCG15","Walbrook Wharf","2"
