"","plot_id","C175.ca","C175.enn_cv","C175.ca_m2","Monitor","site_name","layer"
"1",1,0.00810123197455248,3.1192405195244e-13,81.0123197455248,"FOCG1","Mansion House","1"
"2",2,1.75056621297027,84.7284103245534,17505.6621297027,"FOCG2","Barber Surgeon ","1"
"3",3,0.0715108748371048,175.29382329677,715.108748371048,"FOCG3","Wood Street ","1"
"4",4,0.136420745843081,0,1364.20745843081,"FOCG4","79 Charterhouse ","1"
"5",5,0.415963256569923,150.18566678699,4159.63256569923,"FOCG5","Guildhall ","1"
"6",6,0.0845128520802066,50.7548019924018,845.128520802066,"FOCG6","Weil","1"
"7",7,0.0225034221515356,185.030666492691,225.034221515356,"FOCG7","Nomura","1"
"8",8,0.167425460807418,19.8695606709933,1674.25460807418,"FOCG8","Algate School","1"
"9",9,0.0700106466936634,202.718656500438,700.106466936634,"FOCG9","Cannon Bridge","1"
"10",10,0.0666101295685426,120.711768228672,666.101295685426,"FOCG10","120 Fenchurch ","1"
"11",11,0.336251134548709,130.788488123888,3362.51134548709,"FOCG11","Cleary Garden ","1"
"12",12,2.01840694417832,0,20184.0694417832,"FOCG12","Inner Temple ","1"
"13",13,0.188728700444204,69.2490359173441,1887.28700444204,"FOCG13","St Dunstan ","1"
"14",14,0.475372291049975,162.295826929192,4753.72291049975,"FOCG14","Christchurch Greyfrairs","1"
"15",15,0.0905137646539506,195.764047214406,905.137646539506,"FOCG15","Walbrook Wharf","1"
